p_State,p_State-Short,2015-16 Q1 (Sep Qtr),2015-16 Q2 (Dec Qtr),2015-16 Q3 (Mar Qtr),2015-16 Q4 (Jun Qtr),2016-17 Q1 (Sep Qtr),2016-17 Q2 (Dec Qtr),2016-17 Q3 (Mar Qtr),2016-17 Q4 (Jun Qtr),2017-18 Q1 (Sep Qtr),2017-18 Q2 (Dec Qtr),2017-18 Q3 (Mar Qtr),2017-18 Q4 (Jun Qtr),2018-19 Q1 (Sep Qtr),2018-19 Q2 (Dec Qtr),2018-19 Q3 (Mar Qtr),2018-19 Q4 (Jun Qtr),2019-20 Q1 (Sep Qtr),2019-20 Q2 (Dec Qtr),2019-20 Q3 (Mar Qtr),2019-20 Q4 (Jun Qtr),2020-21 Q1 (Sep Qtr),2020-21 Q2 (Dec Qtr),2020-21 Q3 (Mar Qtr),2020-21 Q4 (Jun Qtr),2021-22 Q1 (Sep Qtr),2021-22 Q2 (Dec Qtr),2021-22 Q3 (Mar Qtr),2021-22 Q4 (Jun Qtr),2022-23 Q1 (Sep Qtr),2022-23 Q2 (Dec Qtr),2022-23 Q3 (Mar Qtr),2022-23 Q4 (Jun Qtr),2023-24 Q1 (Sep Qtr),2023-24 Q2 (Dec Qtr),2023-24 Q3 (Mar Qtr),2023-24 Q4 (Jun Qtr),2024-25 Q1 (Sep Qtr),2024-25 Q2 (Dec Qtr),2024-25 Q3 (Mar Qtr)
Australia,AU,23904271,23984581,24103425,24190907,24297530,24385064,24511409,24592588,24690071,24759018,24881751,24963258,25067399,25146140,25264932,25334826,25438073,25520468,25627924,25649248,25633341,25630698,25653005,25685412,25704774,25773795,25912977,26018721,26169314,26320285,26514302,26659922,26831131,26956660,27113517,27193790,27303494,27392636,27536874
Australian Capital Territory,ACT,397540,398874,401673,403104,406040,408878,413017,415046,417964,420226,423810,426081,428417,430758,433801,435730,438633,440267,443035,444903,445749,447650,449573,452508,453398,456005,459556,461262,464015,465873,469185,471340,473817,474862,477529,478448,479921,481344,483767
New South Wales,NSW,7645324,7671401,7707412,7732858,7767915,7795625,7833463,7855316,7884752,7900946,7934688,7954476,7984525,8003564,8032991,8046748,8071350,8088361,8112001,8110610,8098905,8094300,8093015,8097062,8096719,8117057,8153203,8182098,8223908,8264048,8317329,8356387,8406338,8437334,8477401,8492171,8521570,8541186,8579219
Northern Territory,NT,244570,244090,244627,245678,246443,246065,246231,247412,247514,246862,246674,247095,247006,245920,246016,246559,246677,246213,246969,247428,247755,247819,248185,248151,249465,250500,252107,253100,254404,255294,256466,257508,258543,259143,259967,260847,261594,262254,263417
Queensland,QLD,4791520,4804933,4826538,4845152,4865303,4882939,4906370,4926380,4945129,4960965,4985955,5006623,5027543,5046434,5070306,5088847,5110540,5129741,5154305,5165613,5173071,5184329,5199548,5215814,5230029,5249672,5283479,5310905,5342317,5376678,5415786,5450235,5485974,5516476,5548832,5571675,5595122,5619059,5647468
South Australia,SA,1703703,1705937,1710334,1712843,1717275,1719580,1725253,1728673,1733055,1735654,1742255,1746137,1751849,1755715,1762889,1767395,1774006,1778928,1787847,1790355,1792178,1794514,1798586,1802601,1803789,1807839,1818356,1824969,1833331,1840187,1851014,1857646,1865760,1870937,1878655,1882175,1887038,1891270,1898587
Tasmania,TAS,515697,515694,516861,517514,519606,521981,524574,526762,529350,531561,534754,537291,540241,542927,545803,547841,549947,553340,555975,557578,559427,561881,564840,567239,567829,569609,571384,572300,572790,573343,573836,573731,573819,574214,574965,574746,574993,575481,576109
Victoria,VIC,6057558,6093049,6138627,6173172,6205852,6235781,6278555,6302608,6333514,6358210,6398586,6423038,6454976,6479695,6518716,6537305,6567898,6590050,6616636,6615046,6591437,6567195,6555302,6547822,6543116,6555013,6591580,6615232,6657690,6700395,6757251,6797169,6845666,6881068,6928534,6950823,6982857,7007650,7053122
Western Australia,WA,2545509,2547745,2554506,2555978,2564492,2569606,2579276,2585720,2594138,2599928,2610320,2617792,2628121,2636404,2649641,2659625,2674246,2688799,2706350,2712912,2720001,2728187,2739105,2749365,2755583,2763240,2778421,2793934,2815907,2839523,2868478,2890936,2916222,2937647,2962651,2977910,2995415,3009399,3030183
